,Variable,Year,province,value,adm_level,region,unit
0,Annual Per Capita Poverty Threshold (in Pesos),1991,1st District,,District,NCR,in Pesos
1,Annual Per Capita Poverty Threshold (in Pesos),2006,1st District,"15,699",District,NCR,in Pesos
2,Annual Per Capita Poverty Threshold (in Pesos),2009,1st District,"19,227",District,NCR,in Pesos
3,Annual Per Capita Poverty Threshold (in Pesos),2012,1st District,"20,344",District,NCR,in Pesos
4,Annual Per Capita Poverty Threshold (in Pesos),2015,1st District,"25,007",District,NCR,in Pesos
35,Annual Per Capita Poverty Threshold (in Pesos),1991,2nd District,,District,NCR,in Pesos
36,Annual Per Capita Poverty Threshold (in Pesos),2006,2nd District,"15,699",District,NCR,in Pesos
37,Annual Per Capita Poverty Threshold (in Pesos),2009,2nd District,"19,227",District,NCR,in Pesos
38,Annual Per Capita Poverty Threshold (in Pesos),2012,2nd District,"20,344",District,NCR,in Pesos
39,Annual Per Capita Poverty Threshold (in Pesos),2015,2nd District,"25,007",District,NCR,in Pesos
70,Annual Per Capita Poverty Threshold (in Pesos),1991,3rd District,,District,NCR,in Pesos
71,Annual Per Capita Poverty Threshold (in Pesos),2006,3rd District,"15,699",District,NCR,in Pesos
72,Annual Per Capita Poverty Threshold (in Pesos),2009,3rd District,"19,227",District,NCR,in Pesos
73,Annual Per Capita Poverty Threshold (in Pesos),2012,3rd District,"20,344",District,NCR,in Pesos
74,Annual Per Capita Poverty Threshold (in Pesos),2015,3rd District,"25,007",District,NCR,in Pesos
105,Annual Per Capita Poverty Threshold (in Pesos),1991,4th District,,District,NCR,in Pesos
106,Annual Per Capita Poverty Threshold (in Pesos),2006,4th District,"15,699",District,NCR,in Pesos
107,Annual Per Capita Poverty Threshold (in Pesos),2009,4th District,"19,227",District,NCR,in Pesos
108,Annual Per Capita Poverty Threshold (in Pesos),2012,4th District,"20,344",District,NCR,in Pesos
109,Annual Per Capita Poverty Threshold (in Pesos),2015,4th District,"25,007",District,NCR,in Pesos
140,Annual Per Capita Poverty Threshold (in Pesos),1991,ARMM,"5,201",Region,ARMM,in Pesos
141,Annual Per Capita Poverty Threshold (in Pesos),2006,ARMM,"12,647",Region,ARMM,in Pesos
142,Annual Per Capita Poverty Threshold (in Pesos),2009,ARMM,"16,683",Region,ARMM,in Pesos
143,Annual Per Capita Poverty Threshold (in Pesos),2012,ARMM,"20,517",Region,ARMM,in Pesos
144,Annual Per Capita Poverty Threshold (in Pesos),2015,ARMM,"21,563",Region,ARMM,in Pesos
175,Annual Per Capita Poverty Threshold (in Pesos),1991,Abra,,Province,CAR,in Pesos
176,Annual Per Capita Poverty Threshold (in Pesos),2006,Abra,"14,680",Province,CAR,in Pesos
177,Annual Per Capita Poverty Threshold (in Pesos),2009,Abra,"17,852",Province,CAR,in Pesos
178,Annual Per Capita Poverty Threshold (in Pesos),2012,Abra,"19,775",Province,CAR,in Pesos
179,Annual Per Capita Poverty Threshold (in Pesos),2015,Abra,"21,240",Province,CAR,in Pesos
210,Annual Per Capita Poverty Threshold (in Pesos),1991,Agusan del Norte,,Province,CARAGA,in Pesos
