,Variable,Year,province,value,adm_level,region,unit
1,Annual Per Capita Poverty Threshold (in Pesos),2006,1st District,"15,699",District,NCR,in Pesos
2,Annual Per Capita Poverty Threshold (in Pesos),2009,1st District,"19,227",District,NCR,in Pesos
3,Annual Per Capita Poverty Threshold (in Pesos),2012,1st District,"20,344",District,NCR,in Pesos
4,Annual Per Capita Poverty Threshold (in Pesos),2015,1st District,"25,007",District,NCR,in Pesos
6,Annual Per Capita Poverty Threshold (in Pesos),2006,2nd District,"15,699",District,NCR,in Pesos
7,Annual Per Capita Poverty Threshold (in Pesos),2009,2nd District,"19,227",District,NCR,in Pesos
8,Annual Per Capita Poverty Threshold (in Pesos),2012,2nd District,"20,344",District,NCR,in Pesos
9,Annual Per Capita Poverty Threshold (in Pesos),2015,2nd District,"25,007",District,NCR,in Pesos
11,Annual Per Capita Poverty Threshold (in Pesos),2006,3rd District,"15,699",District,NCR,in Pesos
12,Annual Per Capita Poverty Threshold (in Pesos),2009,3rd District,"19,227",District,NCR,in Pesos
13,Annual Per Capita Poverty Threshold (in Pesos),2012,3rd District,"20,344",District,NCR,in Pesos
14,Annual Per Capita Poverty Threshold (in Pesos),2015,3rd District,"25,007",District,NCR,in Pesos
16,Annual Per Capita Poverty Threshold (in Pesos),2006,4th District,"15,699",District,NCR,in Pesos
17,Annual Per Capita Poverty Threshold (in Pesos),2009,4th District,"19,227",District,NCR,in Pesos
18,Annual Per Capita Poverty Threshold (in Pesos),2012,4th District,"20,344",District,NCR,in Pesos
19,Annual Per Capita Poverty Threshold (in Pesos),2015,4th District,"25,007",District,NCR,in Pesos
20,Annual Per Capita Poverty Threshold (in Pesos),1991,ARMM,"5,201",Region,ARMM,in Pesos
21,Annual Per Capita Poverty Threshold (in Pesos),2006,ARMM,"12,647",Region,ARMM,in Pesos
22,Annual Per Capita Poverty Threshold (in Pesos),2009,ARMM,"16,683",Region,ARMM,in Pesos
23,Annual Per Capita Poverty Threshold (in Pesos),2012,ARMM,"20,517",Region,ARMM,in Pesos
24,Annual Per Capita Poverty Threshold (in Pesos),2015,ARMM,"21,563",Region,ARMM,in Pesos
26,Annual Per Capita Poverty Threshold (in Pesos),2006,Abra,"14,680",Province,CAR,in Pesos
27,Annual Per Capita Poverty Threshold (in Pesos),2009,Abra,"17,852",Province,CAR,in Pesos
28,Annual Per Capita Poverty Threshold (in Pesos),2012,Abra,"19,775",Province,CAR,in Pesos
29,Annual Per Capita Poverty Threshold (in Pesos),2015,Abra,"21,240",Province,CAR,in Pesos
31,Annual Per Capita Poverty Threshold (in Pesos),2006,Agusan del Norte,"14,739",Province,CARAGA,in Pesos
32,Annual Per Capita Poverty Threshold (in Pesos),2009,Agusan del Norte,"18,890",Province,CARAGA,in Pesos
33,Annual Per Capita Poverty Threshold (in Pesos),2012,Agusan del Norte,"18,905",Province,CARAGA,in Pesos
34,Annual Per Capita Poverty Threshold (in Pesos),2015,Agusan del Norte,"21,535",Province,CARAGA,in Pesos
36,Annual Per Capita Poverty Threshold (in Pesos),2006,Agusan del Sur,"14,969",Province,CARAGA,in Pesos
