,Variable,Year,province,value,adm_level,region,unit
1,Magnitude of Poor Families,2006,1st District,"9,906",District,NCR,families
2,Magnitude of Poor Families,2009,1st District,"12,405",District,NCR,families
3,Magnitude of Poor Families,2012,1st District,"14,343",District,NCR,families
4,Magnitude of Poor Families,2015,1st District,"12,710",District,NCR,families
6,Magnitude of Poor Families,2006,2nd District,"28,247",District,NCR,families
7,Magnitude of Poor Families,2009,2nd District,"21,168",District,NCR,families
8,Magnitude of Poor Families,2012,2nd District,"19,782",District,NCR,families
9,Magnitude of Poor Families,2015,2nd District,"21,727",District,NCR,families
11,Magnitude of Poor Families,2006,3rd District,"18,631",District,NCR,families
12,Magnitude of Poor Families,2009,3rd District,"19,306",District,NCR,families
13,Magnitude of Poor Families,2012,3rd District,"18,266",District,NCR,families
14,Magnitude of Poor Families,2015,3rd District,"22,352",District,NCR,families
16,Magnitude of Poor Families,2006,4th District,"16,570",District,NCR,families
17,Magnitude of Poor Families,2009,4th District,"11,095",District,NCR,families
18,Magnitude of Poor Families,2012,4th District,"24,138",District,NCR,families
19,Magnitude of Poor Families,2015,4th District,"23,457",District,NCR,families
20,Magnitude of Poor Families,1991,ARMM,"104,747",Region,ARMM,families
21,Magnitude of Poor Families,2006,ARMM,"205,834",Region,ARMM,families
22,Magnitude of Poor Families,2009,ARMM,"212,494",Region,ARMM,families
23,Magnitude of Poor Families,2012,ARMM,"271,355",Region,ARMM,families
24,Magnitude of Poor Families,2015,ARMM,"296,999",Region,ARMM,families
26,Magnitude of Poor Families,2006,Abra,"18,054",Province,CAR,families
27,Magnitude of Poor Families,2009,Abra,"18,852",Province,CAR,families
28,Magnitude of Poor Families,2012,Abra,"13,914",Province,CAR,families
29,Magnitude of Poor Families,2015,Abra,"12,400",Province,CAR,families
31,Magnitude of Poor Families,2006,Agusan del Norte,"46,898",Province,CARAGA,families
32,Magnitude of Poor Families,2009,Agusan del Norte,"48,842",Province,CARAGA,families
33,Magnitude of Poor Families,2012,Agusan del Norte,"39,125",Province,CARAGA,families
34,Magnitude of Poor Families,2015,Agusan del Norte,"45,678",Province,CARAGA,families
36,Magnitude of Poor Families,2006,Agusan del Sur,"56,058",Province,CARAGA,families
37,Magnitude of Poor Families,2009,Agusan del Sur,"70,560",Province,CARAGA,families
38,Magnitude of Poor Families,2012,Agusan del Sur,"52,809",Province,CARAGA,families
39,Magnitude of Poor Families,2015,Agusan del Sur,"50,990",Province,CARAGA,families
41,Magnitude of Poor Families,2006,Aklan,"33,647",Province,Region VI,families
42,Magnitude of Poor Families,2009,Aklan,"41,583",Province,Region VI,families
43,Magnitude of Poor Families,2012,Aklan,"25,204",Province,Region VI,families
44,Magnitude of Poor Families,2015,Aklan,"11,600",Province,Region VI,families
46,Magnitude of Poor Families,2006,Albay,"67,788",Province,Region V,families
47,Magnitude of Poor Families,2009,Albay,"75,910",Province,Region V,families
48,Magnitude of Poor Families,2012,Albay,"90,551",Province,Region V,families
49,Magnitude of Poor Families,2015,Albay,"50,815",Province,Region V,families
51,Magnitude of Poor Families,2006,Antique,"45,308",Province,Region VI,families
52,Magnitude of Poor Families,2009,Antique,"39,314",Province,Region VI,families
53,Magnitude of Poor Families,2012,Antique,"28,598",Province,Region VI,families
54,Magnitude of Poor Families,2015,Antique,"20,532",Province,Region VI,families
56,Magnitude of Poor Families,2006,Apayao,"8,944",Province,CAR,families
57,Magnitude of Poor Families,2009,Apayao,"9,132",Province,CAR,families
58,Magnitude of Poor Families,2012,Apayao,"13,462",Province,CAR,families
59,Magnitude of Poor Families,2015,Apayao,"6,945",Province,CAR,families
66,Magnitude of Poor Families,2006,Basilan,"14,137",Province,ARMM,families
67,Magnitude of Poor Families,2009,Basilan,"14,781",Province,ARMM,families
68,Magnitude of Poor Families,2012,Basilan,"16,832",Province,ARMM,families
69,Magnitude of Poor Families,2015,Basilan,"11,125",Province,ARMM,families
71,Magnitude of Poor Families,2006,Bataan,"8,359",Province,Region III,families
72,Magnitude of Poor Families,2009,Bataan,"8,688",Province,Region III,families
73,Magnitude of Poor Families,2012,Bataan,"7,116",Province,Region III,families
74,Magnitude of Poor Families,2015,Bataan,"2,751",Province,Region III,families
81,Magnitude of Poor Families,2006,Batangas,"49,739",Province,Region VI-A,families
82,Magnitude of Poor Families,2009,Batangas,"62,889",Province,Region VI-A,families
83,Magnitude of Poor Families,2012,Batangas,"80,551",Province,Region VI-A,families
84,Magnitude of Poor Families,2015,Batangas,"40,163",Province,Region VI-A,families
86,Magnitude of Poor Families,2006,Benguet,"5,773",Province,CAR,families
87,Magnitude of Poor Families,2009,Benguet,"6,937",Province,CAR,families
88,Magnitude of Poor Families,2012,Benguet,"5,121",Province,CAR,families
89,Magnitude of Poor Families,2015,Benguet,"4,783",Province,CAR,families
91,Magnitude of Poor Families,2006,Biliran,"7,143",Province,Region VIII,families
92,Magnitude of Poor Families,2009,Biliran,"10,701",Province,Region VIII,families
93,Magnitude of Poor Families,2012,Biliran,"7,468",Province,Region VIII,families
94,Magnitude of Poor Families,2015,Biliran,"8,173",Province,Region VIII,families
96,Magnitude of Poor Families,2006,Bohol,"97,368",Province,Region VII,families
97,Magnitude of Poor Families,2009,Bohol,"93,942",Province,Region VII,families
98,Magnitude of Poor Families,2012,Bohol,"83,455",Province,Region VII,families
99,Magnitude of Poor Families,2015,Bohol,"60,279",Province,Region VII,families
101,Magnitude of Poor Families,2006,Bukidnon,"86,133",Province,Region X,families
102,Magnitude of Poor Families,2009,Bukidnon,"98,340",Province,Region X,families
103,Magnitude of Poor Families,2012,Bukidnon,"120,760",Province,Region X,families
104,Magnitude of Poor Families,2015,Bukidnon,"135,909",Province,Region X,families
106,Magnitude of Poor Families,2006,Bulacan,"27,997",Province,Region III,families
107,Magnitude of Poor Families,2009,Bulacan,"29,371",Province,Region III,families
108,Magnitude of Poor Families,2012,Bulacan,"38,103",Province,Region III,families
109,Magnitude of Poor Families,2015,Bulacan,"24,359",Province,Region III,families
110,Magnitude of Poor Families,1991,CAR,"83,557",Region,CAR,families
111,Magnitude of Poor Families,2006,CAR,"66,607",Region,CAR,families
112,Magnitude of Poor Families,2009,CAR,"66,111",Region,CAR,families
113,Magnitude of Poor Families,2012,CAR,"65,516",Region,CAR,families
114,Magnitude of Poor Families,2015,CAR,"59,759",Region,CAR,families
116,Magnitude of Poor Families,2006,Cagayan,"56,765",Province,Region II,families
117,Magnitude of Poor Families,2009,Cagayan,"55,061",Province,Region II,families
118,Magnitude of Poor Families,2012,Cagayan,"40,237",Province,Region II,families
119,Magnitude of Poor Families,2015,Cagayan,"35,986",Province,Region II,families
121,Magnitude of Poor Families,2006,Camarines Norte,"32,037",Province,Region V,families
122,Magnitude of Poor Families,2009,Camarines Norte,"36,527",Province,Region V,families
123,Magnitude of Poor Families,2012,Camarines Norte,"26,663",Province,Region V,families
124,Magnitude of Poor Families,2015,Camarines Norte,"39,647",Province,Region V,families
126,Magnitude of Poor Families,2006,Camarines Sur,"131,601",Province,Region V,families
127,Magnitude of Poor Families,2009,Camarines Sur,"142,173",Province,Region V,families
128,Magnitude of Poor Families,2012,Camarines Sur,"121,614",Province,Region V,families
129,Magnitude of Poor Families,2015,Camarines Sur,"104,902",Province,Region V,families
136,Magnitude of Poor Families,2006,Capiz,"34,419",Province,Region VI,families
137,Magnitude of Poor Families,2009,Capiz,"35,726",Province,Region VI,families
138,Magnitude of Poor Families,2012,Capiz,"37,143",Province,Region VI,families
139,Magnitude of Poor Families,2015,Capiz,"15,654",Province,Region VI,families
140,Magnitude of Poor Families,1991,Caraga,"163,244",Region,CARAGA,families
141,Magnitude of Poor Families,2006,Caraga,"191,315",Region,CARAGA,families
142,Magnitude of Poor Families,2009,Caraga,"227,453",Region,CARAGA,families
143,Magnitude of Poor Families,2012,Caraga,"169,522",Region,CARAGA,families
144,Magnitude of Poor Families,2015,Caraga,"178,160",Region,CARAGA,families
