,Variable,Year,province,value,adm_level,region,unit
1,Magnitude of Poor Population,2006,1st District,"79,109",District,NCR,population
2,Magnitude of Poor Population,2009,1st District,"84,914",District,NCR,population
3,Magnitude of Poor Population,2012,1st District,"102,591",District,NCR,population
4,Magnitude of Poor Population,2015,1st District,"82,007",District,NCR,population
6,Magnitude of Poor Population,2006,2nd District,"183,449",District,NCR,population
7,Magnitude of Poor Population,2009,2nd District,"131,502",District,NCR,population
8,Magnitude of Poor Population,2012,2nd District,"104,495",District,NCR,population
9,Magnitude of Poor Population,2015,2nd District,"137,392",District,NCR,population
11,Magnitude of Poor Population,2006,3rd District,"113,009",District,NCR,population
12,Magnitude of Poor Population,2009,3rd District,"113,585",District,NCR,population
13,Magnitude of Poor Population,2012,3rd District,"100,451",District,NCR,population
14,Magnitude of Poor Population,2015,3rd District,"115,990",District,NCR,population
16,Magnitude of Poor Population,2006,4th District,"124,306",District,NCR,population
17,Magnitude of Poor Population,2009,4th District,"73,457",District,NCR,population
18,Magnitude of Poor Population,2012,4th District,"153,295",District,NCR,population
19,Magnitude of Poor Population,2015,4th District,"159,242",District,NCR,population
20,Magnitude of Poor Population,1991,ARMM,"631,372",Region,ARMM,population
21,Magnitude of Poor Population,2006,ARMM,"1,450,467",Region,ARMM,population
22,Magnitude of Poor Population,2009,ARMM,"1,507,868",Region,ARMM,population
23,Magnitude of Poor Population,2012,ARMM,"1,854,188",Region,ARMM,population
24,Magnitude of Poor Population,2015,ARMM,"1,990,503",Region,ARMM,population
26,Magnitude of Poor Population,2006,Abra,"105,370",Province,CAR,population
27,Magnitude of Poor Population,2009,Abra,"107,945",Province,CAR,population
28,Magnitude of Poor Population,2012,Abra,"84,347",Province,CAR,population
29,Magnitude of Poor Population,2015,Abra,"76,930",Province,CAR,population
31,Magnitude of Poor Population,2006,Agusan del Norte,"273,427",Province,CARAGA,population
32,Magnitude of Poor Population,2009,Agusan del Norte,"290,793",Province,CARAGA,population
33,Magnitude of Poor Population,2012,Agusan del Norte,"230,721",Province,CARAGA,population
34,Magnitude of Poor Population,2015,Agusan del Norte,"270,149",Province,CARAGA,population
36,Magnitude of Poor Population,2006,Agusan del Sur,"327,984",Province,CARAGA,population
37,Magnitude of Poor Population,2009,Agusan del Sur,"398,421",Province,CARAGA,population
38,Magnitude of Poor Population,2012,Agusan del Sur,"324,597",Province,CARAGA,population
39,Magnitude of Poor Population,2015,Agusan del Sur,"318,638",Province,CARAGA,population
41,Magnitude of Poor Population,2006,Aklan,"207,009",Province,Region VI,population
