,Variable,Year,province,value,adm_level,region,unit
1,Poverty Incidence among Families (%),2006,1st District,2.7,District,NCR,%
2,Poverty Incidence among Families (%),2009,1st District,3.2,District,NCR,%
3,Poverty Incidence among Families (%),2012,1st District,3.6,District,NCR,%
4,Poverty Incidence among Families (%),2015,1st District,3.5,District,NCR,%
6,Poverty Incidence among Families (%),2006,2nd District,3.2,District,NCR,%
7,Poverty Incidence among Families (%),2009,2nd District,2.2,District,NCR,%
8,Poverty Incidence among Families (%),2012,2nd District,1.9,District,NCR,%
9,Poverty Incidence among Families (%),2015,2nd District,1.9,District,NCR,%
11,Poverty Incidence among Families (%),2006,3rd District,3.3,District,NCR,%
12,Poverty Incidence among Families (%),2009,3rd District,3.2,District,NCR,%
13,Poverty Incidence among Families (%),2012,3rd District,2.8,District,NCR,%
14,Poverty Incidence among Families (%),2015,3rd District,3.3,District,NCR,%
16,Poverty Incidence among Families (%),2006,4th District,2.4,District,NCR,%
17,Poverty Incidence among Families (%),2009,4th District,1.5,District,NCR,%
18,Poverty Incidence among Families (%),2012,4th District,3.0,District,NCR,%
19,Poverty Incidence among Families (%),2015,4th District,2.8,District,NCR,%
20,Poverty Incidence among Families (%),1991,ARMM,26.9,Region,ARMM,%
21,Poverty Incidence among Families (%),2006,ARMM,40.5,Region,ARMM,%
22,Poverty Incidence among Families (%),2009,ARMM,39.9,Region,ARMM,%
23,Poverty Incidence among Families (%),2012,ARMM,48.7,Region,ARMM,%
24,Poverty Incidence among Families (%),2015,ARMM,48.2,Region,ARMM,%
26,Poverty Incidence among Families (%),2006,Abra,39.4,Province,CAR,%
27,Poverty Incidence among Families (%),2009,Abra,38.9,Province,CAR,%
28,Poverty Incidence among Families (%),2012,Abra,27.2,Province,CAR,%
29,Poverty Incidence among Families (%),2015,Abra,19.9,Province,CAR,%
31,Poverty Incidence among Families (%),2006,Agusan del Norte,38.7,Province,CARAGA,%
32,Poverty Incidence among Families (%),2009,Agusan del Norte,37.3,Province,CARAGA,%
33,Poverty Incidence among Families (%),2012,Agusan del Norte,27.7,Province,CARAGA,%
34,Poverty Incidence among Families (%),2015,Agusan del Norte,28.1,Province,CARAGA,%
