,Variable,Year,province,value,adm_level,region,unit
1,Poverty Incidence among Population (%),2006,1st District,4.9,District,NCR,%
2,Poverty Incidence among Population (%),2009,1st District,5.1,District,NCR,%
3,Poverty Incidence among Population (%),2012,1st District,6.2,District,NCR,%
4,Poverty Incidence among Population (%),2015,1st District,5.1,District,NCR,%
6,Poverty Incidence among Population (%),2006,2nd District,4.9,District,NCR,%
7,Poverty Incidence among Population (%),2009,2nd District,3.3,District,NCR,%
8,Poverty Incidence among Population (%),2012,2nd District,2.4,District,NCR,%
9,Poverty Incidence among Population (%),2015,2nd District,2.9,District,NCR,%
11,Poverty Incidence among Population (%),2006,3rd District,4.6,District,NCR,%
12,Poverty Incidence among Population (%),2009,3rd District,4.5,District,NCR,%
13,Poverty Incidence among Population (%),2012,3rd District,3.8,District,NCR,%
14,Poverty Incidence among Population (%),2015,3rd District,4.1,District,NCR,%
16,Poverty Incidence among Population (%),2006,4th District,4.4,District,NCR,%
17,Poverty Incidence among Population (%),2009,4th District,2.4,District,NCR,%
18,Poverty Incidence among Population (%),2012,4th District,4.8,District,NCR,%
19,Poverty Incidence among Population (%),2015,4th District,4.5,District,NCR,%
20,Poverty Incidence among Population (%),1991,ARMM,30.5,Region,ARMM,%
21,Poverty Incidence among Population (%),2006,ARMM,47.1,Region,ARMM,%
22,Poverty Incidence among Population (%),2009,ARMM,47.4,Region,ARMM,%
23,Poverty Incidence among Population (%),2012,ARMM,55.8,Region,ARMM,%
24,Poverty Incidence among Population (%),2015,ARMM,53.7,Region,ARMM,%
26,Poverty Incidence among Population (%),2006,Abra,49.3,Province,CAR,%
27,Poverty Incidence among Population (%),2009,Abra,48.8,Province,CAR,%
28,Poverty Incidence among Population (%),2012,Abra,37.4,Province,CAR,%
29,Poverty Incidence among Population (%),2015,Abra,28.9,Province,CAR,%
31,Poverty Incidence among Population (%),2006,Agusan del Norte,44.1,Province,CARAGA,%
32,Poverty Incidence among Population (%),2009,Agusan del Norte,45.9,Province,CARAGA,%
33,Poverty Incidence among Population (%),2012,Agusan del Norte,34.7,Province,CARAGA,%
34,Poverty Incidence among Population (%),2015,Agusan del Norte,34.9,Province,CARAGA,%
36,Poverty Incidence among Population (%),2006,Agusan del Sur,53.8,Province,CARAGA,%
37,Poverty Incidence among Population (%),2009,Agusan del Sur,60.0,Province,CARAGA,%
38,Poverty Incidence among Population (%),2012,Agusan del Sur,48.1,Province,CARAGA,%
39,Poverty Incidence among Population (%),2015,Agusan del Sur,47.3,Province,CARAGA,%
41,Poverty Incidence among Population (%),2006,Aklan,41.8,Province,Region VI,%
42,Poverty Incidence among Population (%),2009,Aklan,44.7,Province,Region VI,%
43,Poverty Incidence among Population (%),2012,Aklan,25.0,Province,Region VI,%
44,Poverty Incidence among Population (%),2015,Aklan,14.9,Province,Region VI,%
