,Variable,Year,province,value,adm_level,region,unit
10,Magnitude of Poor Families,1991,1st District,,District,NCR,families
11,Magnitude of Poor Families,2006,1st District,"9,906",District,NCR,families
12,Magnitude of Poor Families,2009,1st District,"12,405",District,NCR,families
13,Magnitude of Poor Families,2012,1st District,"14,343",District,NCR,families
14,Magnitude of Poor Families,2015,1st District,"12,710",District,NCR,families
45,Magnitude of Poor Families,1991,2nd District,,District,NCR,families
46,Magnitude of Poor Families,2006,2nd District,"28,247",District,NCR,families
47,Magnitude of Poor Families,2009,2nd District,"21,168",District,NCR,families
48,Magnitude of Poor Families,2012,2nd District,"19,782",District,NCR,families
49,Magnitude of Poor Families,2015,2nd District,"21,727",District,NCR,families
80,Magnitude of Poor Families,1991,3rd District,,District,NCR,families
81,Magnitude of Poor Families,2006,3rd District,"18,631",District,NCR,families
82,Magnitude of Poor Families,2009,3rd District,"19,306",District,NCR,families
83,Magnitude of Poor Families,2012,3rd District,"18,266",District,NCR,families
84,Magnitude of Poor Families,2015,3rd District,"22,352",District,NCR,families
115,Magnitude of Poor Families,1991,4th District,,District,NCR,families
116,Magnitude of Poor Families,2006,4th District,"16,570",District,NCR,families
117,Magnitude of Poor Families,2009,4th District,"11,095",District,NCR,families
118,Magnitude of Poor Families,2012,4th District,"24,138",District,NCR,families
119,Magnitude of Poor Families,2015,4th District,"23,457",District,NCR,families
150,Magnitude of Poor Families,1991,ARMM,"104,747",Region,ARMM,families
151,Magnitude of Poor Families,2006,ARMM,"205,834",Region,ARMM,families
152,Magnitude of Poor Families,2009,ARMM,"212,494",Region,ARMM,families
153,Magnitude of Poor Families,2012,ARMM,"271,355",Region,ARMM,families
154,Magnitude of Poor Families,2015,ARMM,"296,999",Region,ARMM,families
185,Magnitude of Poor Families,1991,Abra,,Province,CAR,families
186,Magnitude of Poor Families,2006,Abra,"18,054",Province,CAR,families
187,Magnitude of Poor Families,2009,Abra,"18,852",Province,CAR,families
188,Magnitude of Poor Families,2012,Abra,"13,914",Province,CAR,families
189,Magnitude of Poor Families,2015,Abra,"12,400",Province,CAR,families
220,Magnitude of Poor Families,1991,Agusan del Norte,,Province,CARAGA,families
221,Magnitude of Poor Families,2006,Agusan del Norte,"46,898",Province,CARAGA,families
222,Magnitude of Poor Families,2009,Agusan del Norte,"48,842",Province,CARAGA,families
