,Variable,Year,province,value,adm_level,region,unit
20,Magnitude of Poor Population,1991,1st District,,District,NCR,population
21,Magnitude of Poor Population,2006,1st District,"79,109",District,NCR,population
22,Magnitude of Poor Population,2009,1st District,"84,914",District,NCR,population
23,Magnitude of Poor Population,2012,1st District,"102,591",District,NCR,population
24,Magnitude of Poor Population,2015,1st District,"82,007",District,NCR,population
55,Magnitude of Poor Population,1991,2nd District,,District,NCR,population
56,Magnitude of Poor Population,2006,2nd District,"183,449",District,NCR,population
57,Magnitude of Poor Population,2009,2nd District,"131,502",District,NCR,population
58,Magnitude of Poor Population,2012,2nd District,"104,495",District,NCR,population
59,Magnitude of Poor Population,2015,2nd District,"137,392",District,NCR,population
90,Magnitude of Poor Population,1991,3rd District,,District,NCR,population
91,Magnitude of Poor Population,2006,3rd District,"113,009",District,NCR,population
92,Magnitude of Poor Population,2009,3rd District,"113,585",District,NCR,population
93,Magnitude of Poor Population,2012,3rd District,"100,451",District,NCR,population
94,Magnitude of Poor Population,2015,3rd District,"115,990",District,NCR,population
125,Magnitude of Poor Population,1991,4th District,,District,NCR,population
126,Magnitude of Poor Population,2006,4th District,"124,306",District,NCR,population
127,Magnitude of Poor Population,2009,4th District,"73,457",District,NCR,population
128,Magnitude of Poor Population,2012,4th District,"153,295",District,NCR,population
129,Magnitude of Poor Population,2015,4th District,"159,242",District,NCR,population
160,Magnitude of Poor Population,1991,ARMM,"631,372",Region,ARMM,population
161,Magnitude of Poor Population,2006,ARMM,"1,450,467",Region,ARMM,population
162,Magnitude of Poor Population,2009,ARMM,"1,507,868",Region,ARMM,population
163,Magnitude of Poor Population,2012,ARMM,"1,854,188",Region,ARMM,population
164,Magnitude of Poor Population,2015,ARMM,"1,990,503",Region,ARMM,population
195,Magnitude of Poor Population,1991,Abra,,Province,CAR,population
196,Magnitude of Poor Population,2006,Abra,"105,370",Province,CAR,population
197,Magnitude of Poor Population,2009,Abra,"107,945",Province,CAR,population
198,Magnitude of Poor Population,2012,Abra,"84,347",Province,CAR,population
199,Magnitude of Poor Population,2015,Abra,"76,930",Province,CAR,population
230,Magnitude of Poor Population,1991,Agusan del Norte,,Province,CARAGA,population
231,Magnitude of Poor Population,2006,Agusan del Norte,"273,427",Province,CARAGA,population
232,Magnitude of Poor Population,2009,Agusan del Norte,"290,793",Province,CARAGA,population
233,Magnitude of Poor Population,2012,Agusan del Norte,"230,721",Province,CARAGA,population
234,Magnitude of Poor Population,2015,Agusan del Norte,"270,149",Province,CARAGA,population
265,Magnitude of Poor Population,1991,Agusan del Sur,,Province,CARAGA,population
266,Magnitude of Poor Population,2006,Agusan del Sur,"327,984",Province,CARAGA,population
267,Magnitude of Poor Population,2009,Agusan del Sur,"398,421",Province,CARAGA,population
268,Magnitude of Poor Population,2012,Agusan del Sur,"324,597",Province,CARAGA,population
269,Magnitude of Poor Population,2015,Agusan del Sur,"318,638",Province,CARAGA,population
300,Magnitude of Poor Population,1991,Aklan,,Province,Region VI,population
301,Magnitude of Poor Population,2006,Aklan,"207,009",Province,Region VI,population
302,Magnitude of Poor Population,2009,Aklan,"219,711",Province,Region VI,population
303,Magnitude of Poor Population,2012,Aklan,"136,917",Province,Region VI,population
304,Magnitude of Poor Population,2015,Aklan,"67,199",Province,Region VI,population
335,Magnitude of Poor Population,1991,Albay,,Province,Region V,population
336,Magnitude of Poor Population,2006,Albay,"434,478",Province,Region V,population
337,Magnitude of Poor Population,2009,Albay,"433,673",Province,Region V,population
338,Magnitude of Poor Population,2012,Albay,"511,636",Province,Region V,population
339,Magnitude of Poor Population,2015,Albay,"340,305",Province,Region V,population
370,Magnitude of Poor Population,1991,Antique,,Province,Region VI,population
371,Magnitude of Poor Population,2006,Antique,"258,539",Province,Region VI,population
372,Magnitude of Poor Population,2009,Antique,"205,288",Province,Region VI,population
373,Magnitude of Poor Population,2012,Antique,"160,625",Province,Region VI,population
374,Magnitude of Poor Population,2015,Antique,"126,943",Province,Region VI,population
405,Magnitude of Poor Population,1991,Apayao,,Province,CAR,population
406,Magnitude of Poor Population,2006,Apayao,"50,259",Province,CAR,population
407,Magnitude of Poor Population,2009,Apayao,"51,298",Province,CAR,population
408,Magnitude of Poor Population,2012,Apayao,"68,970",Province,CAR,population
409,Magnitude of Poor Population,2015,Apayao,"36,004",Province,CAR,population
440,Magnitude of Poor Population,1991,Aurora,,,,population
441,Magnitude of Poor Population,2006,Aurora,"53,282",,,population
442,Magnitude of Poor Population,2009,Aurora,"31,279",,,population
443,Magnitude of Poor Population,2012,Aurora,"60,075",,,population
444,Magnitude of Poor Population,2015,Aurora,"57,619",,,population
475,Magnitude of Poor Population,1991,Basilan,,Province,ARMM,population
476,Magnitude of Poor Population,2006,Basilan,"108,642",Province,ARMM,population
477,Magnitude of Poor Population,2009,Basilan,"94,660",Province,ARMM,population
478,Magnitude of Poor Population,2012,Basilan,"110,711",Province,ARMM,population
479,Magnitude of Poor Population,2015,Basilan,"75,019",Province,ARMM,population
510,Magnitude of Poor Population,1991,Bataan,,Province,Region III,population
511,Magnitude of Poor Population,2006,Bataan,"57,937",Province,Region III,population
512,Magnitude of Poor Population,2009,Bataan,"51,033",Province,Region III,population
513,Magnitude of Poor Population,2012,Bataan,"46,555",Province,Region III,population
514,Magnitude of Poor Population,2015,Bataan,"14,793",Province,Region III,population
545,Magnitude of Poor Population,1991,Batanes,,,,population
546,Magnitude of Poor Population,2006,Batanes,"3,575",,,population
547,Magnitude of Poor Population,2009,Batanes,"3,092",,,population
548,Magnitude of Poor Population,2012,Batanes,"4,380",,,population
549,Magnitude of Poor Population,2015,Batanes,  -   ,,,population
580,Magnitude of Poor Population,1991,Batangas,,Province,Region VI-A,population
581,Magnitude of Poor Population,2006,Batangas,"301,261",Province,Region VI-A,population
582,Magnitude of Poor Population,2009,Batangas,"374,373",Province,Region VI-A,population
583,Magnitude of Poor Population,2012,Batangas,"452,808",Province,Region VI-A,population
584,Magnitude of Poor Population,2015,Batangas,"254,132",Province,Region VI-A,population
615,Magnitude of Poor Population,1991,Benguet,,Province,CAR,population
616,Magnitude of Poor Population,2006,Benguet,"40,123",Province,CAR,population
617,Magnitude of Poor Population,2009,Benguet,"43,778",Province,CAR,population
618,Magnitude of Poor Population,2012,Benguet,"27,789",Province,CAR,population
619,Magnitude of Poor Population,2015,Benguet,"28,418",Province,CAR,population
650,Magnitude of Poor Population,1991,Biliran,,Province,Region VIII,population
651,Magnitude of Poor Population,2006,Biliran,"46,289",Province,Region VIII,population
652,Magnitude of Poor Population,2009,Biliran,"70,076",Province,Region VIII,population
653,Magnitude of Poor Population,2012,Biliran,"45,762",Province,Region VIII,population
654,Magnitude of Poor Population,2015,Biliran,"45,007",Province,Region VIII,population
685,Magnitude of Poor Population,1991,Bohol,,Province,Region VII,population
686,Magnitude of Poor Population,2006,Bohol,"544,187",Province,Region VII,population
687,Magnitude of Poor Population,2009,Bohol,"512,094",Province,Region VII,population
688,Magnitude of Poor Population,2012,Bohol,"429,000",Province,Region VII,population
689,Magnitude of Poor Population,2015,Bohol,"298,196",Province,Region VII,population
720,Magnitude of Poor Population,1991,Bukidnon,,Province,Region X,population
721,Magnitude of Poor Population,2006,Bukidnon,"531,119",Province,Region X,population
722,Magnitude of Poor Population,2009,Bukidnon,"579,992",Province,Region X,population
723,Magnitude of Poor Population,2012,Bukidnon,"664,158",Province,Region X,population
724,Magnitude of Poor Population,2015,Bukidnon,"732,027",Province,Region X,population
755,Magnitude of Poor Population,1991,Bulacan,,Province,Region III,population
756,Magnitude of Poor Population,2006,Bulacan,"192,861",Province,Region III,population
757,Magnitude of Poor Population,2009,Bulacan,"193,819",Province,Region III,population
758,Magnitude of Poor Population,2012,Bulacan,"227,670",Province,Region III,population
759,Magnitude of Poor Population,2015,Bulacan,"151,491",Province,Region III,population
790,Magnitude of Poor Population,1991,CAR,"527,373",Region,CAR,population
791,Magnitude of Poor Population,2006,CAR,"392,117",Region,CAR,population
792,Magnitude of Poor Population,2009,CAR,"390,066",Region,CAR,population
793,Magnitude of Poor Population,2012,CAR,"373,740",Region,CAR,population
794,Magnitude of Poor Population,2015,CAR,"351,590",Region,CAR,population
825,Magnitude of Poor Population,1991,Cagayan,,Province,Region II,population
826,Magnitude of Poor Population,2006,Cagayan,"314,233",Province,Region II,population
827,Magnitude of Poor Population,2009,Cagayan,"295,591",Province,Region II,population
828,Magnitude of Poor Population,2012,Cagayan,"219,078",Province,Region II,population
829,Magnitude of Poor Population,2015,Cagayan,"189,581",Province,Region II,population
860,Magnitude of Poor Population,1991,Camarines Norte,,Province,Region V,population
861,Magnitude of Poor Population,2006,Camarines Norte,"217,410",Province,Region V,population
