,Variable,Year,province,value,adm_level,region,unit
30,Magnitude of Subsistence Poor Population,1991,1st District,,District,NCR,population
31,Magnitude of Subsistence Poor Population,2006,1st District,"22,528",District,NCR,population
32,Magnitude of Subsistence Poor Population,2009,1st District,0,District,NCR,population
33,Magnitude of Subsistence Poor Population,2012,1st District,"8,902",District,NCR,population
34,Magnitude of Subsistence Poor Population,2015,1st District,"24,855",District,NCR,population
65,Magnitude of Subsistence Poor Population,1991,2nd District,,District,NCR,population
66,Magnitude of Subsistence Poor Population,2006,2nd District,"13,020",District,NCR,population
67,Magnitude of Subsistence Poor Population,2009,2nd District,"17,896",District,NCR,population
68,Magnitude of Subsistence Poor Population,2012,2nd District,"16,828",District,NCR,population
69,Magnitude of Subsistence Poor Population,2015,2nd District,"15,456",District,NCR,population
100,Magnitude of Subsistence Poor Population,1991,3rd District,,District,NCR,population
101,Magnitude of Subsistence Poor Population,2006,3rd District,"21,823",District,NCR,population
102,Magnitude of Subsistence Poor Population,2009,3rd District,"30,476",District,NCR,population
103,Magnitude of Subsistence Poor Population,2012,3rd District,"10,459",District,NCR,population
104,Magnitude of Subsistence Poor Population,2015,3rd District,"19,967",District,NCR,population
135,Magnitude of Subsistence Poor Population,1991,4th District,,District,NCR,population
136,Magnitude of Subsistence Poor Population,2006,4th District,"34,761",District,NCR,population
137,Magnitude of Subsistence Poor Population,2009,4th District,"7,262",District,NCR,population
138,Magnitude of Subsistence Poor Population,2012,4th District,"22,004",District,NCR,population
139,Magnitude of Subsistence Poor Population,2015,4th District,"22,469",District,NCR,population
170,Magnitude of Subsistence Poor Population,1991,ARMM,"234,254",Region,ARMM,population
171,Magnitude of Subsistence Poor Population,2006,ARMM,"529,242",Region,ARMM,population
172,Magnitude of Subsistence Poor Population,2009,ARMM,"452,480",Region,ARMM,population
173,Magnitude of Subsistence Poor Population,2012,ARMM,"832,481",Region,ARMM,population
174,Magnitude of Subsistence Poor Population,2015,ARMM,"783,054",Region,ARMM,population
205,Magnitude of Subsistence Poor Population,1991,Abra,,Province,CAR,population
206,Magnitude of Subsistence Poor Population,2006,Abra,"55,266",Province,CAR,population
207,Magnitude of Subsistence Poor Population,2009,Abra,"66,180",Province,CAR,population
208,Magnitude of Subsistence Poor Population,2012,Abra,"30,475",Province,CAR,population
209,Magnitude of Subsistence Poor Population,2015,Abra,"22,360",Province,CAR,population
240,Magnitude of Subsistence Poor Population,1991,Agusan del Norte,,Province,CARAGA,population
241,Magnitude of Subsistence Poor Population,2006,Agusan del Norte,"146,385",Province,CARAGA,population
242,Magnitude of Subsistence Poor Population,2009,Agusan del Norte,"157,473",Province,CARAGA,population
243,Magnitude of Subsistence Poor Population,2012,Agusan del Norte,"105,651",Province,CARAGA,population
244,Magnitude of Subsistence Poor Population,2015,Agusan del Norte,"121,778",Province,CARAGA,population
275,Magnitude of Subsistence Poor Population,1991,Agusan del Sur,,Province,CARAGA,population
276,Magnitude of Subsistence Poor Population,2006,Agusan del Sur,"193,710",Province,CARAGA,population
277,Magnitude of Subsistence Poor Population,2009,Agusan del Sur,"255,170",Province,CARAGA,population
278,Magnitude of Subsistence Poor Population,2012,Agusan del Sur,"176,354",Province,CARAGA,population
279,Magnitude of Subsistence Poor Population,2015,Agusan del Sur,"157,330",Province,CARAGA,population
310,Magnitude of Subsistence Poor Population,1991,Aklan,,Province,Region VI,population
311,Magnitude of Subsistence Poor Population,2006,Aklan,"93,866",Province,Region VI,population
312,Magnitude of Subsistence Poor Population,2009,Aklan,"118,900",Province,Region VI,population
313,Magnitude of Subsistence Poor Population,2012,Aklan,"29,177",Province,Region VI,population
