,Variable,Year,province,value,adm_level,region,unit
5,Poverty Incidence among Families (%),1991,1st District,,District,NCR,%
6,Poverty Incidence among Families (%),2006,1st District,2.7,District,NCR,%
7,Poverty Incidence among Families (%),2009,1st District,3.2,District,NCR,%
8,Poverty Incidence among Families (%),2012,1st District,3.6,District,NCR,%
9,Poverty Incidence among Families (%),2015,1st District,3.5,District,NCR,%
40,Poverty Incidence among Families (%),1991,2nd District,,District,NCR,%
41,Poverty Incidence among Families (%),2006,2nd District,3.2,District,NCR,%
42,Poverty Incidence among Families (%),2009,2nd District,2.2,District,NCR,%
43,Poverty Incidence among Families (%),2012,2nd District,1.9,District,NCR,%
44,Poverty Incidence among Families (%),2015,2nd District,1.9,District,NCR,%
75,Poverty Incidence among Families (%),1991,3rd District,,District,NCR,%
76,Poverty Incidence among Families (%),2006,3rd District,3.3,District,NCR,%
77,Poverty Incidence among Families (%),2009,3rd District,3.2,District,NCR,%
78,Poverty Incidence among Families (%),2012,3rd District,2.8,District,NCR,%
79,Poverty Incidence among Families (%),2015,3rd District,3.3,District,NCR,%
110,Poverty Incidence among Families (%),1991,4th District,,District,NCR,%
111,Poverty Incidence among Families (%),2006,4th District,2.4,District,NCR,%
112,Poverty Incidence among Families (%),2009,4th District,1.5,District,NCR,%
113,Poverty Incidence among Families (%),2012,4th District,3,District,NCR,%
114,Poverty Incidence among Families (%),2015,4th District,2.8,District,NCR,%
145,Poverty Incidence among Families (%),1991,ARMM,26.9,Region,ARMM,%
146,Poverty Incidence among Families (%),2006,ARMM,40.5,Region,ARMM,%
147,Poverty Incidence among Families (%),2009,ARMM,39.9,Region,ARMM,%
148,Poverty Incidence among Families (%),2012,ARMM,48.7,Region,ARMM,%
149,Poverty Incidence among Families (%),2015,ARMM,48.2,Region,ARMM,%
180,Poverty Incidence among Families (%),1991,Abra,,Province,CAR,%
181,Poverty Incidence among Families (%),2006,Abra,39.4,Province,CAR,%
