,Variable,Year,province,value,adm_level,region,unit
15,Poverty Incidence among Population (%),1991,1st District,,District,NCR,%
16,Poverty Incidence among Population (%),2006,1st District,4.9,District,NCR,%
17,Poverty Incidence among Population (%),2009,1st District,5.1,District,NCR,%
18,Poverty Incidence among Population (%),2012,1st District,6.2,District,NCR,%
19,Poverty Incidence among Population (%),2015,1st District,5.1,District,NCR,%
50,Poverty Incidence among Population (%),1991,2nd District,,District,NCR,%
51,Poverty Incidence among Population (%),2006,2nd District,4.9,District,NCR,%
52,Poverty Incidence among Population (%),2009,2nd District,3.3,District,NCR,%
53,Poverty Incidence among Population (%),2012,2nd District,2.4,District,NCR,%
54,Poverty Incidence among Population (%),2015,2nd District,2.9,District,NCR,%
85,Poverty Incidence among Population (%),1991,3rd District,,District,NCR,%
86,Poverty Incidence among Population (%),2006,3rd District,4.6,District,NCR,%
87,Poverty Incidence among Population (%),2009,3rd District,4.5,District,NCR,%
88,Poverty Incidence among Population (%),2012,3rd District,3.8,District,NCR,%
89,Poverty Incidence among Population (%),2015,3rd District,4.1,District,NCR,%
120,Poverty Incidence among Population (%),1991,4th District,,District,NCR,%
121,Poverty Incidence among Population (%),2006,4th District,4.4,District,NCR,%
122,Poverty Incidence among Population (%),2009,4th District,2.4,District,NCR,%
123,Poverty Incidence among Population (%),2012,4th District,4.8,District,NCR,%
124,Poverty Incidence among Population (%),2015,4th District,4.5,District,NCR,%
155,Poverty Incidence among Population (%),1991,ARMM,30.5,Region,ARMM,%
156,Poverty Incidence among Population (%),2006,ARMM,47.1,Region,ARMM,%
157,Poverty Incidence among Population (%),2009,ARMM,47.4,Region,ARMM,%
158,Poverty Incidence among Population (%),2012,ARMM,55.8,Region,ARMM,%
159,Poverty Incidence among Population (%),2015,ARMM,53.7,Region,ARMM,%
190,Poverty Incidence among Population (%),1991,Abra,,Province,CAR,%
191,Poverty Incidence among Population (%),2006,Abra,49.3,Province,CAR,%
192,Poverty Incidence among Population (%),2009,Abra,48.8,Province,CAR,%
193,Poverty Incidence among Population (%),2012,Abra,37.4,Province,CAR,%
194,Poverty Incidence among Population (%),2015,Abra,28.9,Province,CAR,%
225,Poverty Incidence among Population (%),1991,Agusan del Norte,,Province,CARAGA,%
226,Poverty Incidence among Population (%),2006,Agusan del Norte,44.1,Province,CARAGA,%
227,Poverty Incidence among Population (%),2009,Agusan del Norte,45.9,Province,CARAGA,%
228,Poverty Incidence among Population (%),2012,Agusan del Norte,34.7,Province,CARAGA,%
229,Poverty Incidence among Population (%),2015,Agusan del Norte,34.9,Province,CARAGA,%
260,Poverty Incidence among Population (%),1991,Agusan del Sur,,Province,CARAGA,%
261,Poverty Incidence among Population (%),2006,Agusan del Sur,53.8,Province,CARAGA,%
262,Poverty Incidence among Population (%),2009,Agusan del Sur,60,Province,CARAGA,%
263,Poverty Incidence among Population (%),2012,Agusan del Sur,48.1,Province,CARAGA,%
264,Poverty Incidence among Population (%),2015,Agusan del Sur,47.3,Province,CARAGA,%
295,Poverty Incidence among Population (%),1991,Aklan,,Province,Region VI,%
296,Poverty Incidence among Population (%),2006,Aklan,41.8,Province,Region VI,%
297,Poverty Incidence among Population (%),2009,Aklan,44.7,Province,Region VI,%
298,Poverty Incidence among Population (%),2012,Aklan,25,Province,Region VI,%
299,Poverty Incidence among Population (%),2015,Aklan,14.9,Province,Region VI,%
330,Poverty Incidence among Population (%),1991,Albay,,Province,Region V,%
331,Poverty Incidence among Population (%),2006,Albay,36.4,Province,Region V,%
332,Poverty Incidence among Population (%),2009,Albay,36.7,Province,Region V,%
333,Poverty Incidence among Population (%),2012,Albay,41,Province,Region V,%
334,Poverty Incidence among Population (%),2015,Albay,25.2,Province,Region V,%
365,Poverty Incidence among Population (%),1991,Antique,,Province,Region VI,%
366,Poverty Incidence among Population (%),2006,Antique,51.6,Province,Region VI,%
367,Poverty Incidence among Population (%),2009,Antique,44.3,Province,Region VI,%
368,Poverty Incidence among Population (%),2012,Antique,30.9,Province,Region VI,%
369,Poverty Incidence among Population (%),2015,Antique,26,Province,Region VI,%
400,Poverty Incidence among Population (%),1991,Apayao,,Province,CAR,%
401,Poverty Incidence among Population (%),2006,Apayao,46.8,Province,CAR,%
402,Poverty Incidence among Population (%),2009,Apayao,45.7,Province,CAR,%
403,Poverty Incidence among Population (%),2012,Apayao,61.4,Province,CAR,%
404,Poverty Incidence among Population (%),2015,Apayao,34.9,Province,CAR,%
