,Variable,Year,province,value,adm_level,region,unit
25,Subsistence Incidence among Population (%),1991,1st District,,District,NCR,%
26,Subsistence Incidence among Population (%),2006,1st District,1.4,District,NCR,%
27,Subsistence Incidence among Population (%),2009,1st District,0,District,NCR,%
28,Subsistence Incidence among Population (%),2012,1st District,0.5,District,NCR,%
29,Subsistence Incidence among Population (%),2015,1st District,1.6,District,NCR,%
60,Subsistence Incidence among Population (%),1991,2nd District,,District,NCR,%
61,Subsistence Incidence among Population (%),2006,2nd District,0.3,District,NCR,%
62,Subsistence Incidence among Population (%),2009,2nd District,0.5,District,NCR,%
63,Subsistence Incidence among Population (%),2012,2nd District,0.4,District,NCR,%
64,Subsistence Incidence among Population (%),2015,2nd District,0.3,District,NCR,%
95,Subsistence Incidence among Population (%),1991,3rd District,,District,NCR,%
96,Subsistence Incidence among Population (%),2006,3rd District,0.9,District,NCR,%
97,Subsistence Incidence among Population (%),2009,3rd District,1.2,District,NCR,%
98,Subsistence Incidence among Population (%),2012,3rd District,0.4,District,NCR,%
99,Subsistence Incidence among Population (%),2015,3rd District,0.7,District,NCR,%
130,Subsistence Incidence among Population (%),1991,4th District,,District,NCR,%
131,Subsistence Incidence among Population (%),2006,4th District,1.2,District,NCR,%
132,Subsistence Incidence among Population (%),2009,4th District,0.2,District,NCR,%
133,Subsistence Incidence among Population (%),2012,4th District,0.7,District,NCR,%
134,Subsistence Incidence among Population (%),2015,4th District,0.6,District,NCR,%
165,Subsistence Incidence among Population (%),1991,ARMM,11.3,Region,ARMM,%
166,Subsistence Incidence among Population (%),2006,ARMM,17.2,Region,ARMM,%
167,Subsistence Incidence among Population (%),2009,ARMM,14.2,Region,ARMM,%
168,Subsistence Incidence among Population (%),2012,ARMM,25.1,Region,ARMM,%
169,Subsistence Incidence among Population (%),2015,ARMM,21.1,Region,ARMM,%
200,Subsistence Incidence among Population (%),1991,Abra,,Province,CAR,%
201,Subsistence Incidence among Population (%),2006,Abra,25.8,Province,CAR,%
202,Subsistence Incidence among Population (%),2009,Abra,29.9,Province,CAR,%
203,Subsistence Incidence among Population (%),2012,Abra,13.5,Province,CAR,%
204,Subsistence Incidence among Population (%),2015,Abra,8.4,Province,CAR,%
235,Subsistence Incidence among Population (%),1991,Agusan del Norte,,Province,CARAGA,%
236,Subsistence Incidence among Population (%),2006,Agusan del Norte,23.6,Province,CARAGA,%
237,Subsistence Incidence among Population (%),2009,Agusan del Norte,24.9,Province,CARAGA,%
238,Subsistence Incidence among Population (%),2012,Agusan del Norte,15.9,Province,CARAGA,%
239,Subsistence Incidence among Population (%),2015,Agusan del Norte,15.7,Province,CARAGA,%
270,Subsistence Incidence among Population (%),1991,Agusan del Sur,,Province,CARAGA,%
271,Subsistence Incidence among Population (%),2006,Agusan del Sur,31.8,Province,CARAGA,%
272,Subsistence Incidence among Population (%),2009,Agusan del Sur,38.4,Province,CARAGA,%
273,Subsistence Incidence among Population (%),2012,Agusan del Sur,26.1,Province,CARAGA,%
274,Subsistence Incidence among Population (%),2015,Agusan del Sur,23.3,Province,CARAGA,%
305,Subsistence Incidence among Population (%),1991,Aklan,,Province,Region VI,%
306,Subsistence Incidence among Population (%),2006,Aklan,18.9,Province,Region VI,%
307,Subsistence Incidence among Population (%),2009,Aklan,24.2,Province,Region VI,%
308,Subsistence Incidence among Population (%),2012,Aklan,5.3,Province,Region VI,%
309,Subsistence Incidence among Population (%),2015,Aklan,0.9,Province,Region VI,%
340,Subsistence Incidence among Population (%),1991,Albay,,Province,Region V,%
341,Subsistence Incidence among Population (%),2006,Albay,14,Province,Region V,%
342,Subsistence Incidence among Population (%),2009,Albay,15.7,Province,Region V,%
343,Subsistence Incidence among Population (%),2012,Albay,19.6,Province,Region V,%
344,Subsistence Incidence among Population (%),2015,Albay,10.7,Province,Region V,%
375,Subsistence Incidence among Population (%),1991,Antique,,Province,Region VI,%
376,Subsistence Incidence among Population (%),2006,Antique,24.2,Province,Region VI,%
377,Subsistence Incidence among Population (%),2009,Antique,20,Province,Region VI,%
378,Subsistence Incidence among Population (%),2012,Antique,13,Province,Region VI,%
379,Subsistence Incidence among Population (%),2015,Antique,7.3,Province,Region VI,%
410,Subsistence Incidence among Population (%),1991,Apayao,,Province,CAR,%
411,Subsistence Incidence among Population (%),2006,Apayao,27.6,Province,CAR,%
412,Subsistence Incidence among Population (%),2009,Apayao,29.3,Province,CAR,%
413,Subsistence Incidence among Population (%),2012,Apayao,33.8,Province,CAR,%
414,Subsistence Incidence among Population (%),2015,Apayao,8.4,Province,CAR,%
445,Subsistence Incidence among Population (%),1991,Aurora,,,,%
446,Subsistence Incidence among Population (%),2006,Aurora,15.8,,,%
447,Subsistence Incidence among Population (%),2009,Aurora,1.7,,,%
448,Subsistence Incidence among Population (%),2012,Aurora,11.7,,,%
449,Subsistence Incidence among Population (%),2015,Aurora,14.5,,,%
480,Subsistence Incidence among Population (%),1991,Basilan,,Province,ARMM,%
481,Subsistence Incidence among Population (%),2006,Basilan,5.9,Province,ARMM,%
482,Subsistence Incidence among Population (%),2009,Basilan,3,Province,ARMM,%
483,Subsistence Incidence among Population (%),2012,Basilan,3.6,Province,ARMM,%
484,Subsistence Incidence among Population (%),2015,Basilan,7.2,Province,ARMM,%
515,Subsistence Incidence among Population (%),1991,Bataan,,Province,Region III,%
516,Subsistence Incidence among Population (%),2006,Bataan,1.2,Province,Region III,%
517,Subsistence Incidence among Population (%),2009,Bataan,0,Province,Region III,%
518,Subsistence Incidence among Population (%),2012,Bataan,2.8,Province,Region III,%
519,Subsistence Incidence among Population (%),2015,Bataan,0,Province,Region III,%
550,Subsistence Incidence among Population (%),1991,Batanes,,,,%
551,Subsistence Incidence among Population (%),2006,Batanes,0,,,%
552,Subsistence Incidence among Population (%),2009,Batanes,0,,,%
553,Subsistence Incidence among Population (%),2012,Batanes,27.5,,,%
554,Subsistence Incidence among Population (%),2015,Batanes,0,,,%
585,Subsistence Incidence among Population (%),1991,Batangas,,Province,Region VI-A,%
586,Subsistence Incidence among Population (%),2006,Batangas,5.4,Province,Region VI-A,%
587,Subsistence Incidence among Population (%),2009,Batangas,5.8,Province,Region VI-A,%
588,Subsistence Incidence among Population (%),2012,Batangas,7.4,Province,Region VI-A,%
589,Subsistence Incidence among Population (%),2015,Batangas,2.4,Province,Region VI-A,%
620,Subsistence Incidence among Population (%),1991,Benguet,,Province,CAR,%
621,Subsistence Incidence among Population (%),2006,Benguet,1.4,Province,CAR,%
622,Subsistence Incidence among Population (%),2009,Benguet,1.9,Province,CAR,%
623,Subsistence Incidence among Population (%),2012,Benguet,0.6,Province,CAR,%
624,Subsistence Incidence among Population (%),2015,Benguet,0.4,Province,CAR,%
655,Subsistence Incidence among Population (%),1991,Biliran,,Province,Region VIII,%
656,Subsistence Incidence among Population (%),2006,Biliran,12.1,Province,Region VIII,%
657,Subsistence Incidence among Population (%),2009,Biliran,13.5,Province,Region VIII,%
658,Subsistence Incidence among Population (%),2012,Biliran,8.3,Province,Region VIII,%
659,Subsistence Incidence among Population (%),2015,Biliran,8.1,Province,Region VIII,%
690,Subsistence Incidence among Population (%),1991,Bohol,,Province,Region VII,%
691,Subsistence Incidence among Population (%),2006,Bohol,28.6,Province,Region VII,%
692,Subsistence Incidence among Population (%),2009,Bohol,21.6,Province,Region VII,%
