,Variable,Year,province,value,adm_level,region,unit
0,Annual Per Capita Poverty Threshold (in Pesos),1991,1st District,,District,NCR,in Pesos
1,Annual Per Capita Poverty Threshold (in Pesos),2006,1st District,"  15,699 ",District,NCR,in Pesos
2,Annual Per Capita Poverty Threshold (in Pesos),2009,1st District,"  19,227 ",District,NCR,in Pesos
3,Annual Per Capita Poverty Threshold (in Pesos),2012,1st District,"  20,344 ",District,NCR,in Pesos
4,Annual Per Capita Poverty Threshold (in Pesos),2015,1st District,"  25,007 ",District,NCR,in Pesos
5,Poverty Incidence among Families (%),1991,1st District,,District,NCR,%
6,Poverty Incidence among Families (%),2006,1st District,2.7,District,NCR,%
7,Poverty Incidence among Families (%),2009,1st District,3.2,District,NCR,%
8,Poverty Incidence among Families (%),2012,1st District,3.6,District,NCR,%
9,Poverty Incidence among Families (%),2015,1st District,3.5,District,NCR,%
10,Magnitude of Poor Families,1991,1st District,,District,NCR,families
11,Magnitude of Poor Families,2006,1st District,"  9,906 ",District,NCR,families
12,Magnitude of Poor Families,2009,1st District,"  12,405 ",District,NCR,families
13,Magnitude of Poor Families,2012,1st District,"  14,343 ",District,NCR,families
14,Magnitude of Poor Families,2015,1st District,"  12,710 ",District,NCR,families
15,Poverty Incidence among Population (%),1991,1st District,,District,NCR,%
16,Poverty Incidence among Population (%),2006,1st District,4.9,District,NCR,%
17,Poverty Incidence among Population (%),2009,1st District,5.1,District,NCR,%
18,Poverty Incidence among Population (%),2012,1st District,6.2,District,NCR,%
19,Poverty Incidence among Population (%),2015,1st District,5.1,District,NCR,%
20,Magnitude of Poor Population,1991,1st District,,District,NCR,population
21,Magnitude of Poor Population,2006,1st District,"  79,109 ",District,NCR,population
22,Magnitude of Poor Population,2009,1st District,"  84,914 ",District,NCR,population
23,Magnitude of Poor Population,2012,1st District,"  102,591 ",District,NCR,population
24,Magnitude of Poor Population,2015,1st District,"  82,007 ",District,NCR,population
25,Subsistence Incidence among Population (%),1991,1st District,,District,NCR,%
26,Subsistence Incidence among Population (%),2006,1st District,1.4,District,NCR,%
27,Subsistence Incidence among Population (%),2009,1st District,0.0,District,NCR,%
28,Subsistence Incidence among Population (%),2012,1st District,0.5,District,NCR,%
29,Subsistence Incidence among Population (%),2015,1st District,1.6,District,NCR,%
30,Magnitude of Subsistence Poor Population,1991,1st District,,District,NCR,population
31,Magnitude of Subsistence Poor Population,2006,1st District,"  22,528 ",District,NCR,population
32,Magnitude of Subsistence Poor Population,2009,1st District,0,District,NCR,population
33,Magnitude of Subsistence Poor Population,2012,1st District,"  8,902 ",District,NCR,population
34,Magnitude of Subsistence Poor Population,2015,1st District,"  24,855 ",District,NCR,population
35,Annual Per Capita Poverty Threshold (in Pesos),1991,2nd District,,District,NCR,in Pesos
36,Annual Per Capita Poverty Threshold (in Pesos),2006,2nd District,"  15,699 ",District,NCR,in Pesos
37,Annual Per Capita Poverty Threshold (in Pesos),2009,2nd District,"  19,227 ",District,NCR,in Pesos
38,Annual Per Capita Poverty Threshold (in Pesos),2012,2nd District,"  20,344 ",District,NCR,in Pesos
39,Annual Per Capita Poverty Threshold (in Pesos),2015,2nd District,"  25,007 ",District,NCR,in Pesos
